orig_addr,name,area,tier,real_function,orig_insn,named,basis
0x180047e5e,,core,library,yes,73,no,
0x180014428,FocusRecovery::`anonymous-namespace'::StartConsolePulse,ui,library,yes,68,yes,
0x18002d340,,core,library,yes,67,no,
0x18004dfa0,,core,library,yes,67,no,
0x180016c10,,core,library,yes,66,no,
0x18003aca0,,core,library,yes,65,no,
0x18003a71d,,core,library,yes,64,no,
0x180046dea,,core,library,yes,61,no,
0x180047008,,core,library,yes,60,no,
0x1800145c5,FocusRecovery::`anonymous-namespace'::VerifyCleanup,ui,library,yes,57,yes,
0x1800190b0,,core,library,yes,57,no,
0x180040330,,core,library,yes,57,no,
0x180010b20,,core,library,yes,55,no,
0x1800196b0,,core,library,yes,55,no,
0x180044536,,core,library,yes,55,no,
0x18003a862,,core,library,yes,54,no,
0x180013920,,core,library,yes,53,no,
0x18002dc00,,core,library,yes,53,no,
0x1800208bc,,core,library,yes,52,no,
0x1800403f0,,core,library,yes,52,no,
0x180012a60,,core,library,yes,49,no,
0x18001e556,,core,library,yes,49,no,
0x18003e4cd,,core,library,yes,49,no,
0x18003e63d,,core,library,yes,49,no,
0x18003e7ad,,core,library,yes,49,no,
0x18003e91d,,core,library,yes,49,no,
0x18003ea8d,,core,library,yes,49,no,
0x180029120,`anonymous-namespace'::OnConsoleMessage,ui,library,yes,48,yes,
0x180047500,,core,library,yes,47,no,
0x180005a2e,,core,library,yes,46,no,
0x180017e30,,core,library,yes,45,no,
0x18004802d,,core,library,yes,45,no,
0x18004fb6c,,core,library,yes,45,no,
0x180005e92,,core,library,yes,44,no,
0x180014360,FocusRecovery::`anonymous-namespace'::StartConsolePulse,ui,library,yes,44,yes,
0x180015a10,,core,library,yes,43,no,
0x180006290,,core,library,yes,42,no,
0x18001f5b0,`anonymous-namespace'::CreateViews::<lambda_1>::operator(),ui,library,yes,41,yes,
0x180010990,,core,library,yes,40,no,
0x18003e400,,core,library,yes,40,no,
0x18003e570,,core,library,yes,40,no,
0x18003e6e0,,core,library,yes,40,no,
0x18003e850,,core,library,yes,40,no,
0x18003e9c0,,core,library,yes,40,no,
0x180007e68,,core,library,yes,39,no,
0x1800460d3,,core,library,yes,39,no,
0x180046f00,,core,library,yes,39,no,
0x1800483b0,,core,library,yes,35,no,
0x18004da00,,core,library,yes,35,no,
0x180001d20,,core,library,yes,33,no,
0x180047f83,,core,library,yes,33,no,
0x1800136b0,FocusRecovery::`anonymous-namespace'::CloseOwnedConsole,ui,library,yes,32,yes,
0x180018cc0,,core,library,yes,32,no,
0x180010460,,core,library,yes,30,no,
0x180044b80,,core,library,yes,30,no,
0x180023348,,core,library,yes,29,no,
0x180007e06,,core,library,yes,28,no,
0x18000f350,,core,library,yes,28,no,
0x180012b1e,,core,library,yes,28,no,
0x18001e682,,core,library,yes,27,no,
0x18003a6c0,,core,library,yes,26,no,
0x18003e479,,core,library,yes,26,no,
0x18003e5e9,,core,library,yes,26,no,
0x18003e759,,core,library,yes,26,no,
0x18003e8c9,,core,library,yes,26,no,
0x18003ea39,,core,library,yes,26,no,
0x1800446bd,,core,library,yes,26,no,
0x18004748c,,core,library,yes,26,no,
0x18001e46c,,core,library,yes,25,no,
0x18001e610,,core,library,yes,25,no,
0x180020839,,core,library,yes,25,no,
0x180023c10,,core,library,yes,25,no,
0x18003e39b,,core,library,yes,25,no,
0x180045d70,,core,library,yes,24,no,
0x1800102f0,.?AV_System_error@std@@::vtable[0],unclassified,library,yes,23,yes,
0x1800158d0,.?AV_Node_base@std@@::vtable[0],unclassified,library,yes,23,yes,
0x18001e4be,,core,library,yes,23,no,
0x18001e517,,core,library,yes,23,no,
0x1800295a4,`anonymous-namespace'::OnMessage,unclassified,library,yes,23,yes,
0x1800445f9,,core,library,yes,23,no,
0x180047170,,core,library,yes,23,no,
0x1800107a0,,core,library,yes,22,no,
0x180020610,,core,library,yes,22,no,
0x180008a45,,core,library,yes,21,no,
0x180010070,.?AV_System_error@std@@::vtable[0],unclassified,library,yes,21,yes,
0x1800207d0,,core,library,yes,21,no,
0x180045cd9,,core,library,yes,21,no,
0x180006216,,core,library,yes,20,no,
0x18002c710,,core,library,yes,20,no,
0x180045d26,,core,library,yes,20,no,
0x180055090,,core,library,yes,20,no,
0x18003a653,,core,library,yes,19,no,
0x18004607d,,core,library,yes,19,no,
0x180046fbf,,core,library,yes,19,no,
0x180054dfb,,core,library,yes,19,no,
0x1800130e0,,core,library,yes,18,no,
0x180040890,,core,library,yes,18,no,
0x180016870,,core,library,yes,17,no,
0x180016d20,,core,library,yes,17,no,
0x180037a40,,core,library,yes,17,no,
0x18003a370,,core,library,yes,17,no,
0x180054d95,,core,library,yes,17,no,
0x18001084f,,core,library,yes,16,no,
0x180016820,,core,library,yes,16,no,
0x18002c9d0,,core,library,yes,16,no,
0x18002cb60,,core,library,yes,16,no,
0x1800101e0,.?AVexception@std@@::vtable[0],unclassified,library,yes,15,yes,
0x180014590,,core,library,yes,15,no,
0x180019802,,core,library,yes,15,no,
0x18003a830,,core,library,yes,15,no,
0x180010885,,core,library,yes,14,no,
0x180010aa0,,core,library,yes,14,no,
0x18002dad0,,core,library,yes,14,no,
0x1800108c0,,core,library,yes,13,no,
0x1800133b0,,core,library,yes,13,no,
0x180014dd0,,core,library,yes,13,no,
0x18001b34a,,core,library,yes,13,no,
0x180039730,,core,library,yes,13,no,
0x18003cd70,,core,library,yes,13,no,
0x1800519f0,,core,library,yes,13,no,
0x1800522c0,,core,library,yes,13,no,
0x1800523c0,,core,library,yes,13,no,
0x180052750,,core,library,yes,13,no,
0x180052790,,core,library,yes,13,no,
0x180052e10,,core,library,yes,13,no,
0x180052e50,,core,library,yes,13,no,
0x180052e80,,core,library,yes,13,no,
0x180052f30,,core,library,yes,13,no,
0x180052f70,,core,library,yes,13,no,
0x180052fe0,,core,library,yes,13,no,
0x180053010,,core,library,yes,13,no,
0x180053090,,core,library,yes,13,no,
0x180053120,,core,library,yes,13,no,
0x180053150,,core,library,yes,13,no,
0x1800532d0,,core,library,yes,13,no,
0x180053420,,core,library,yes,13,no,
0x1800534e0,,core,library,yes,13,no,
0x180053510,,core,library,yes,13,no,
0x180053b00,,core,library,yes,13,no,
0x180001100,,core,library,yes,12,no,
0x180012b85,,core,library,yes,12,no,
0x1800236f0,,core,library,yes,12,no,
0x18002c970,,core,library,yes,12,no,
0x18002c9a0,,core,library,yes,12,no,
0x18002ca70,,core,library,yes,12,no,
0x18002caf0,,core,library,yes,12,no,
0x180046f90,,core,library,yes,12,no,
0x180047140,,core,library,yes,12,no,
0x18004ccf3,,core,library,yes,12,no,
0x180006262,,core,library,yes,11,no,
0x18000fea0,,core,library,yes,11,no,
0x18001eac3,,core,library,yes,11,no,
0x180020815,,core,library,yes,11,no,
0x1800233b3,,core,library,yes,11,no,
